time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1733763412.75556684,0.00706639,3156,0.00098121,0.00000000,0,0.00000000,4263,4464,307,0.00023032
1733763412.75556684,0.00622166,3156,0.00088737,0.00000000,0,0.00000000,4464,4517,146,0.00019660
1733763412.82756829,0.00918711,3882,0.00081276,0.00000000,0,0.00000000,4517,4677,262,0.00018569
1733763412.82756829,0.00841119,3882,0.00075408,0.00000000,0,0.00000000,4677,4736,142,0.00034280
1733763412.89956999,0.00992824,3279,0.00149514,0.00000000,0,0.00000000,4736,4914,308,0.00019182
1733763412.89956999,0.00380539,3279,0.00061006,0.00000000,0,0.00000000,4914,4872,135,0.00009170
1733763412.97157145,0.00891380,3634,0.00079121,0.00000000,0,0.00000000,4872,4941,123,0.00010444
1733763412.97157145,0.00610317,3634,0.00030360,0.00000000,0,0.00000000,4941,4971,59,0.00012762
1733763413.04357290,0.00804894,3543,0.00095076,0.00000000,0,0.00000000,4971,5267,392,0.00012733
1733763413.04357290,0.00892395,3543,0.00068098,0.00000000,0,0.00000000,5267,5367,199,0.00022525
1733763413.11557460,0.00763457,3436,0.00018274,0.00000000,0,0.00000000,5367,5397,123,0.00027207
1733763413.11557460,0.00767830,3436,0.00086350,0.00000000,0,0.00000000,5397,5371,62,0.00021795
1733763413.18457603,0.00463215,4044,0.00074238,0.00000000,0,0.00000000,5371,5656,456,0.00022191
1733763413.18457603,0.01030171,4044,0.00169779,0.00000000,0,0.00000000,5330,5396,219,0.00014742
1733763413.25957751,0.00935353,3580,0.00119509,0.00000000,0,0.00000000,5396,5629,335,0.00018180
1733763413.25957751,0.00580732,3580,0.00054742,0.00000000,0,0.00000000,5629,5687,186,0.00021494
1733763413.33157921,0.01171968,3509,0.00156300,0.00000000,0,0.00000000,5687,5929,285,0.00014690
1733763413.33157921,0.00875961,3509,0.00065164,0.00000000,0,0.00000000,5860,5910,134,0.00024686
1733763413.40358067,0.01200629,3564,0.00145785,0.00000000,0,0.00000000,5910,6077,388,0.00011410
1733763413.40358067,0.00421363,3564,0.00040614,0.00000000,0,0.00000000,6077,6121,206,0.00012080
1733763413.47558212,0.00774868,3089,0.00063266,0.00000000,0,0.00000000,6121,6206,156,0.00014274
1733763413.47558212,0.00451004,3089,0.00027010,0.00000000,0,0.00000000,6206,6211,69,0.00027396
1733763413.55058384,0.01173046,3772,0.00133980,0.00000000,0,0.00000000,6211,6406,362,0.00012363
1733763413.55058384,0.00908204,3772,0.00100078,0.00000000,0,0.00000000,6406,6463,186,0.00009093
1733763413.62258530,0.00518400,3242,0.00053564,0.00000000,0,0.00000000,6463,6578,242,0.00022178
1733763413.62258530,0.00637100,3242,0.00049059,0.00000000,0,0.00000000,6578,6619,101,0.00026342
1733763413.69458699,0.01125732,2952,0.00145382,0.00000000,0,0.00000000,6619,6742,245,0.00016444
1733763413.69458699,0.00717445,2952,0.00034443,0.00000000,0,0.00000000,6549,6613,118,0.00019298
1733763413.76658845,0.00816784,3366,0.00083971,0.00000000,0,0.00000000,6613,6757,323,0.00028661
1733763413.76658845,0.00455799,3366,0.00049027,0.00000000,0,0.00000000,6757,6789,167,0.00021363
1733763413.83858991,0.00601019,2863,0.00056586,0.00000000,0,0.00000000,6789,6895,179,0.00021564
1733763413.83858991,0.00279061,2863,0.00027871,0.00000000,0,0.00000000,6895,6914,100,0.00012004
1733763413.90759134,0.00616898,3607,0.00032323,0.00000000,0,0.00000000,6914,7003,147,0.00026898
1733763413.90759134,0.00736888,3607,0.00034960,0.00000000,0,0.00000000,7003,7035,68,0.00021522
1733763413.97959304,0.01042717,2982,0.00200832,0.00000000,0,0.00000000,7035,7212,418,0.00019799
1733763413.97959304,0.00749123,2982,0.00107012,0.00000000,0,0.00000000,7212,7231,196,0.00032767
1733763414.05159450,0.00839767,2771,0.00131558,0.00000000,0,0.00000000,7231,7281,241,0.00032636
1733763414.05159450,0.00682245,2771,0.00064780,0.00000000,0,0.00000000,7281,7306,123,0.00024042
1733763414.12359595,0.00988589,3569,0.00080390,0.00000000,0,0.00000000,7306,7584,394,0.00013149
1733763414.12359595,0.00842141,3569,0.00082636,0.00000000,0,0.00000000,7316,7452,215,0.00029390
1733763414.19259739,0.00536355,2570,0.00063527,0.00000000,0,0.00000000,7452,7728,447,0.00021191
1733763414.19259739,0.00785444,2570,0.00085075,0.00000000,0,0.00000000,7728,7811,224,0.00021028
1733763414.26759911,0.00820212,3208,0.00079198,0.00000000,0,0.00000000,7811,7911,197,0.00035072
1733763414.26759911,0.00336967,3208,0.00021514,0.00000000,0,0.00000000,7911,7955,106,0.00020053
1733763414.33960056,0.01040007,2772,0.00152079,0.00000000,0,0.00000000,7955,8293,614,0.00028963
1733763414.33960056,0.00784146,2772,0.00135685,0.00000000,0,0.00000000,8122,8406,284,0.00016634
1733763414.41160226,0.00775382,2281,0.00068254,0.00000000,0,0.00000000,7911,8088,214,0.00024893
1733763414.41160226,0.00730895,2281,0.00072092,0.00000000,0,0.00000000,8088,8125,121,0.00012766
1733763414.48360372,0.01081009,3426,0.00124036,0.00000000,0,0.00000000,8125,8516,489,0.00026176
1733763414.48360372,0.01239833,3426,0.00121340,0.00000000,0,0.00000000,8516,8639,236,0.00017890
